key,CPU
alias,CPU
unit,(%)
begin date,2019/03/03
end date,2019/03/03
count,727
,
min,0.0
max,8.99
avg,4.47
,
14:06:38,0.00
14:06:39,1.44
14:06:39,2.00
14:06:40,0.71
14:06:40,0.76
14:06:41,0.75
14:06:42,0.72
14:06:42,0.66
14:06:43,0.65
14:06:43,0.74
14:06:44,1.37
14:06:45,0.71
14:06:45,1.49
14:06:46,0.70
14:06:46,0.72
14:06:47,0.75
14:06:47,0.74
14:06:48,1.40
14:06:49,1.49
14:06:49,3.41
14:06:50,4.81
14:06:51,4.19
14:06:52,3.98
14:06:52,5.83
14:06:53,4.44
14:06:54,6.53
14:06:55,3.45
14:06:56,4.01
14:06:57,4.57
14:06:58,3.94
14:06:59,3.94
14:07:00,4.52
14:07:01,4.41
14:07:01,4.62
14:07:02,6.00
14:07:03,4.88
14:07:04,3.30
14:07:05,3.47
14:07:06,4.69
14:07:07,3.45
14:07:08,4.55
14:07:09,4.90
14:07:09,6.80
14:07:10,4.93
14:07:11,4.23
14:07:12,4.23
14:07:13,3.96
14:07:14,4.31
14:07:15,3.87
14:07:16,4.85
14:07:16,5.26
14:07:17,4.35
14:07:18,3.96
14:07:19,4.43
14:07:20,4.90
14:07:21,4.76
14:07:22,4.21
14:07:23,4.57
14:07:23,4.30
14:07:24,3.63
14:07:25,4.05
14:07:26,6.36
14:07:27,5.26
14:07:28,4.93
14:07:28,3.74
14:07:29,1.83
14:07:30,4.30
14:07:31,4.74
14:07:32,4.59
14:07:32,4.48
14:07:33,3.47
14:07:34,4.24
14:07:35,3.78
14:07:36,4.76
14:07:37,4.76
14:07:37,4.55
14:07:38,3.80
14:07:39,4.17
14:07:40,5.88
14:07:41,5.24
14:07:42,4.28
14:07:42,4.26
14:07:43,4.30
14:07:44,3.72
14:07:45,6.50
14:07:46,4.79
14:07:47,4.76
14:07:47,4.28
14:07:48,4.69
14:07:49,3.85
14:07:50,7.03
14:07:51,5.13
14:07:52,4.17
14:07:52,4.52
14:07:53,3.72
14:07:54,3.19
14:07:55,6.22
14:07:56,4.02
14:07:57,4.21
14:07:57,4.55
14:07:58,3.80
14:07:59,3.43
14:08:00,5.56
14:08:01,6.77
14:08:02,1.24
14:08:02,3.70
14:08:03,4.23
14:08:04,4.23
14:08:05,5.11
14:08:06,4.59
14:08:06,4.49
14:08:07,4.26
14:08:08,4.95
14:08:09,4.79
14:08:10,4.48
14:08:11,5.32
14:08:11,3.47
14:08:12,3.54
14:08:13,3.92
14:08:14,4.44
14:08:15,5.03
14:08:16,5.03
14:08:16,4.23
14:08:17,4.21
14:08:18,4.28
14:08:19,4.32
14:08:20,4.81
14:08:20,5.94
14:08:21,4.26
14:08:22,4.55
14:08:23,5.35
14:08:24,3.94
14:08:25,4.84
14:08:26,7.07
14:08:26,4.44
14:08:27,3.76
14:08:28,4.66
14:08:29,3.89
14:08:30,5.38
14:08:30,6.77
14:08:31,3.19
14:08:32,5.35
14:08:33,4.71
14:08:34,4.59
14:08:35,4.81
14:08:35,4.47
14:08:36,5.81
14:08:37,5.62
14:08:38,4.00
14:08:39,4.32
14:08:40,4.02
14:08:40,4.35
14:08:41,3.70
14:08:42,3.74
14:08:43,4.35
14:08:44,3.83
14:08:45,4.74
14:08:45,2.52
14:08:46,4.65
14:08:47,4.35
14:08:48,5.02
14:08:49,3.98
14:08:49,4.22
14:08:50,4.30
14:08:51,5.29
14:08:52,5.98
14:08:53,4.93
14:08:54,4.26
14:08:54,4.48
14:08:55,4.15
14:08:56,3.68
14:08:57,5.52
14:08:58,4.88
14:08:58,4.33
14:08:59,3.57
14:09:00,4.64
14:09:01,3.76
14:09:02,3.77
14:09:03,5.85
14:09:04,4.06
14:09:05,4.30
14:09:06,4.32
14:09:06,5.14
14:09:07,5.32
14:09:08,4.44
14:09:09,4.26
14:09:10,3.95
14:09:10,3.59
14:09:11,3.81
14:09:12,4.23
14:09:13,4.71
14:09:14,4.81
14:09:15,4.76
14:09:15,3.37
14:09:16,6.47
14:09:17,4.52
14:09:18,5.76
14:09:19,4.32
14:09:19,4.12
14:09:20,4.71
14:09:21,8.56
14:09:22,4.84
14:09:23,4.95
14:09:24,4.81
14:09:25,4.30
14:09:25,3.93
14:09:26,7.37
14:09:27,5.32
14:09:28,5.10
14:09:29,4.92
14:09:30,3.98
14:09:30,4.19
14:09:31,5.96
14:09:32,4.76
14:09:33,3.70
14:09:34,5.29
14:09:35,3.74
14:09:35,4.30
14:09:36,7.37
14:09:37,6.31
14:09:38,4.76
14:09:39,4.78
14:09:40,4.15
14:09:41,5.14
14:09:41,5.64
14:09:42,3.19
14:09:43,3.92
14:09:44,5.32
14:09:45,5.10
14:09:46,4.33
14:09:47,6.45
14:09:47,4.35
14:09:48,4.17
14:09:49,4.71
14:09:50,4.90
14:09:51,4.72
14:09:51,6.19
14:09:52,4.86
14:09:53,4.81
14:09:54,3.78
14:09:55,4.62
14:09:56,4.52
14:09:56,5.62
14:09:57,5.16
14:09:58,3.81
14:09:59,5.39
14:10:00,3.70
14:10:01,4.62
14:10:01,5.70
14:10:02,4.39
14:10:03,5.59
14:10:04,4.74
14:10:05,4.21
14:10:05,4.40
14:10:06,6.32
14:10:07,3.72
14:10:08,4.84
14:10:09,5.10
14:10:10,4.28
14:10:11,4.28
14:10:11,5.41
14:10:12,4.15
14:10:13,4.19
14:10:14,4.47
14:10:15,4.28
14:10:15,6.01
14:10:16,3.70
14:10:17,4.21
14:10:18,4.62
14:10:19,4.17
14:10:20,4.23
14:10:20,4.42
14:10:21,4.21
14:10:22,7.46
14:10:23,4.50
14:10:24,4.37
14:10:25,4.19
14:10:25,5.26
14:10:26,4.52
14:10:27,5.24
14:10:28,4.41
14:10:29,4.74
14:10:29,4.47
14:10:30,5.06
14:10:31,4.21
14:10:32,4.08
14:10:33,3.92
14:10:34,4.74
14:10:34,4.23
14:10:35,1.95
14:10:36,5.29
14:10:37,4.42
14:10:38,5.58
14:10:38,4.23
14:10:39,4.29
14:10:40,4.95
14:10:41,3.21
14:10:42,3.14
14:10:42,6.45
14:10:43,4.79
14:10:44,3.76
14:10:45,4.44
14:10:46,4.26
14:10:47,4.92
14:10:47,8.59
14:10:48,4.71
14:10:49,4.89
14:10:50,3.72
14:10:51,4.62
14:10:51,5.24
14:10:52,4.76
14:10:53,3.74
14:10:54,5.13
14:10:55,4.21
14:10:56,4.76
14:10:56,3.16
14:10:57,4.28
14:10:58,4.23
14:10:59,4.15
14:11:00,4.26
14:11:01,5.32
14:11:02,3.72
14:11:03,5.99
14:11:03,4.95
14:11:04,6.22
14:11:05,4.12
14:11:06,3.92
14:11:07,4.30
14:11:08,6.67
14:11:09,3.61
14:11:09,4.17
14:11:10,4.76
14:11:11,4.88
14:11:12,4.76
14:11:13,8.29
14:11:14,4.79
14:11:14,4.19
14:11:15,3.98
14:11:16,4.66
14:11:17,1.84
14:11:18,4.15
14:11:19,3.74
14:11:19,3.86
14:11:20,5.06
14:11:21,4.50
14:11:22,4.28
14:11:23,4.11
14:11:23,4.30
14:11:24,4.76
14:11:25,4.69
14:11:26,4.84
14:11:27,4.71
14:11:28,4.85
14:11:29,4.28
14:11:29,3.94
14:11:30,5.13
14:11:31,4.86
14:11:32,4.21
14:11:33,3.62
14:11:33,4.69
14:11:34,4.26
14:11:35,4.17
14:11:36,4.92
14:11:37,6.45
14:11:38,4.52
14:11:39,4.04
14:11:39,2.14
14:11:40,4.78
14:11:41,4.50
14:11:42,4.79
14:11:43,4.21
14:11:43,5.85
14:11:44,4.21
14:11:45,4.41
14:11:46,4.26
14:11:47,5.88
14:11:48,4.90
14:11:48,7.87
14:11:49,4.69
14:11:50,4.00
14:11:51,3.83
14:11:52,3.35
14:11:52,4.23
14:11:53,3.76
14:11:54,4.69
14:11:55,4.21
14:11:56,4.26
14:11:57,3.67
14:11:57,5.42
14:11:58,4.12
14:11:59,3.66
14:12:00,4.60
14:12:01,4.52
14:12:02,4.13
14:12:02,5.24
14:12:03,4.15
14:12:04,4.43
14:12:05,4.04
14:12:06,3.68
14:12:07,4.69
14:12:07,5.05
14:12:08,5.03
14:12:09,2.34
14:12:10,3.83
14:12:11,4.26
14:12:12,3.68
14:12:12,5.17
14:12:13,4.26
14:12:14,4.84
14:12:15,4.12
14:12:16,4.79
14:12:16,3.76
14:12:17,4.57
14:12:18,4.95
14:12:19,4.26
14:12:20,3.51
14:12:20,4.23
14:12:21,4.21
14:12:22,3.96
14:12:23,4.89
14:12:24,5.47
14:12:25,3.33
14:12:25,5.15
14:12:26,3.98
14:12:27,4.79
14:12:28,7.57
14:12:29,4.76
14:12:30,4.69
14:12:30,4.32
14:12:31,5.43
14:12:32,5.76
14:12:33,4.19
14:12:34,3.55
14:12:35,4.28
14:12:35,4.84
14:12:36,4.21
14:12:37,6.16
14:12:38,4.98
14:12:39,3.63
14:12:40,4.55
14:12:40,4.63
14:12:41,5.26
14:12:42,4.08
14:12:43,4.23
14:12:44,3.70
14:12:45,4.26
14:12:45,4.95
14:12:46,4.48
14:12:47,6.45
14:12:48,3.85
14:12:49,4.50
14:12:50,4.89
14:12:50,1.95
14:12:51,3.68
14:12:52,5.38
14:12:53,7.21
14:12:54,4.28
14:12:54,3.80
14:12:55,5.18
14:12:56,3.24
14:12:57,3.43
14:12:58,4.09
14:12:58,4.15
14:12:59,3.35
14:13:00,4.57
14:13:01,2.27
14:13:02,5.47
14:13:03,4.74
14:13:04,4.74
14:13:04,3.65
14:13:05,4.66
14:13:06,4.12
14:13:07,5.35
14:13:08,4.41
14:13:09,3.40
14:13:09,2.96
14:13:10,4.55
14:13:11,4.97
14:13:12,4.26
14:13:13,3.29
14:13:14,4.17
14:13:14,2.99
14:13:15,4.71
14:13:16,4.55
14:13:17,4.89
14:13:18,4.35
14:13:19,4.84
14:13:20,4.55
14:13:20,4.04
14:13:21,2.91
14:13:22,4.64
14:13:23,3.40
14:13:24,4.02
14:13:24,3.83
14:13:25,5.42
14:13:26,4.81
14:13:27,3.76
14:13:28,4.43
14:13:29,4.50
14:13:29,5.46
14:13:30,5.26
14:13:31,4.37
14:13:32,4.35
14:13:33,3.86
14:13:34,4.23
14:13:34,5.95
14:13:35,5.81
14:13:36,4.59
14:13:37,4.26
14:13:38,4.48
14:13:39,4.28
14:13:39,5.85
14:13:40,4.76
14:13:41,8.99
14:13:42,4.08
14:13:43,3.43
14:13:44,4.37
14:13:44,5.32
14:13:45,4.66
14:13:46,5.24
14:13:47,4.57
14:13:48,4.09
14:13:48,4.84
14:13:49,4.43
14:13:50,4.74
14:13:51,4.57
14:13:52,4.28
14:13:53,4.52
14:13:53,4.84
14:13:54,3.89
14:13:55,4.74
14:13:56,4.74
14:13:57,3.91
14:13:57,5.39
14:13:58,6.01
14:13:59,2.58
14:14:00,4.04
14:14:01,4.32
14:14:02,4.12
14:14:02,4.79
14:14:03,4.50
14:14:04,4.48
14:14:05,3.72
14:14:06,4.21
14:14:07,3.94
14:14:07,4.69
14:14:08,5.26
14:14:09,5.82
14:14:10,3.26
14:14:11,4.23
14:14:12,4.52
14:14:13,4.21
14:14:14,4.10
14:14:14,5.41
14:14:15,4.71
14:14:16,4.21
14:14:17,4.66
14:14:18,5.15
14:14:19,4.21
14:14:19,4.60
14:14:20,3.66
14:14:21,3.80
14:14:22,4.08
14:14:23,4.76
14:14:24,4.28
14:14:24,4.28
14:14:25,3.92
14:14:26,4.71
14:14:27,4.30
14:14:28,4.72
14:14:28,6.15
14:14:29,3.21
14:14:30,5.35
14:14:31,4.48
14:14:32,4.15
14:14:33,4.85
14:14:33,5.13
14:14:34,4.19
14:14:35,3.70
14:14:36,3.90
14:14:37,3.89
14:14:38,5.13
14:14:38,5.13
14:14:39,3.78
14:14:40,5.73
14:14:41,4.21
14:14:42,5.26
14:14:43,4.33
14:14:43,4.48
14:14:44,4.04
14:14:45,7.54
14:14:46,4.21
14:14:47,3.23
14:14:48,4.50
14:14:48,4.26
14:14:49,4.74
14:14:50,6.99
14:14:51,3.92
14:14:52,3.78
14:14:53,5.85
14:14:53,4.79
14:14:54,4.12
14:14:55,3.89
14:14:56,3.66
14:14:57,4.59
14:14:57,6.47
14:14:58,3.70
14:14:59,1.64
14:15:00,3.87
14:15:01,4.04
14:15:02,5.06
14:15:02,4.60
14:15:03,4.28
14:15:04,4.37
14:15:05,3.94
14:15:06,5.95
14:15:06,4.42
14:15:07,3.74
14:15:08,4.28
14:15:09,3.78
14:15:10,4.32
14:15:11,7.61
14:15:11,4.79
14:15:12,4.10
