key,CPU
alias,CPU
unit,(%)
begin date,2019/02/03
end date,2019/02/03
count,521
,
min,1.47
max,8.04
avg,3.87
,
15:51:01,3.55
15:51:02,5.22
15:51:04,4.48
15:51:05,4.01
15:51:06,3.08
15:51:07,3.06
15:51:08,5.02
15:51:09,4.83
15:51:11,2.83
15:51:12,3.70
15:51:13,3.55
15:51:14,4.26
15:51:15,5.30
15:51:16,3.88
15:51:17,3.18
15:51:19,5.12
15:51:20,4.48
15:51:21,3.41
15:51:22,3.63
15:51:23,3.12
15:51:25,3.79
15:51:26,4.36
15:51:27,3.64
15:51:28,3.80
15:51:29,4.28
15:51:30,4.20
15:51:32,3.61
15:51:33,4.26
15:51:34,2.92
15:51:35,3.75
15:51:36,5.06
15:51:37,3.91
15:51:38,4.03
15:51:40,3.67
15:51:41,4.98
15:51:42,4.08
15:51:43,2.38
15:51:44,2.75
15:51:45,3.03
15:51:47,3.28
15:51:48,4.06
15:51:49,3.70
15:51:50,3.52
15:51:51,3.19
15:51:52,4.18
15:51:54,4.28
15:51:55,4.69
15:51:56,3.99
15:51:57,4.04
15:51:58,4.56
15:51:59,3.35
15:52:01,3.15
15:52:02,3.26
15:52:03,4.69
15:52:04,3.64
15:52:05,3.44
15:52:07,2.81
15:52:08,4.29
15:52:09,4.40
15:52:10,3.47
15:52:11,3.85
15:52:12,4.47
15:52:14,3.21
15:52:15,4.11
15:52:16,3.79
15:52:17,4.90
15:52:18,4.73
15:52:20,3.05
15:52:21,3.62
15:52:22,3.52
15:52:23,5.20
15:52:24,3.99
15:52:25,3.63
15:52:27,3.32
15:52:28,3.83
15:52:29,2.94
15:52:30,2.99
15:52:31,3.47
15:52:32,3.92
15:52:34,4.94
15:52:35,3.77
15:52:36,4.25
15:52:37,3.25
15:52:38,4.15
15:52:39,3.85
15:52:40,3.88
15:52:42,4.05
15:52:43,3.66
15:52:44,3.12
15:52:46,2.86
15:52:47,4.09
15:52:48,4.41
15:52:49,3.99
15:52:50,4.42
15:52:51,3.90
15:52:53,3.78
15:52:54,4.60
15:52:55,3.53
15:52:56,3.21
15:52:57,3.07
15:52:58,3.33
15:53:00,4.62
15:53:01,5.51
15:53:02,3.31
15:53:03,3.91
15:53:04,3.41
15:53:05,3.19
15:53:06,3.70
15:53:08,4.12
15:53:09,4.24
15:53:10,4.09
15:53:11,3.91
15:53:12,4.62
15:53:14,2.93
15:53:15,3.72
15:53:16,3.46
15:53:17,4.44
15:53:18,3.36
15:53:19,3.31
15:53:21,2.86
15:53:22,4.46
15:53:23,5.09
15:53:24,4.15
15:53:25,3.82
15:53:27,3.26
15:53:28,3.67
15:53:29,3.41
15:53:30,2.84
15:53:31,3.75
15:53:32,3.47
15:53:34,4.76
15:53:35,4.37
15:53:36,4.15
15:53:37,4.04
15:53:38,5.30
15:53:39,4.79
15:53:41,3.30
15:53:42,3.31
15:53:43,4.56
15:53:44,6.29
15:53:45,3.60
15:53:46,1.93
15:53:47,1.47
15:53:49,2.26
15:53:49,8.04
15:53:50,4.62
15:53:52,3.31
15:53:53,4.06
15:53:54,4.62
15:53:55,4.21
15:53:56,4.20
15:53:57,4.28
15:53:59,3.56
15:54:00,3.25
15:54:01,5.07
15:54:02,4.42
15:54:03,4.35
15:54:04,4.51
15:54:05,3.62
15:54:07,3.90
15:54:08,4.86
15:54:09,5.45
15:54:10,2.50
15:54:11,7.05
15:54:12,3.23
15:54:14,2.95
15:54:15,3.34
15:54:16,3.98
15:54:17,3.45
15:54:18,2.99
15:54:19,3.80
15:54:20,4.23
15:54:21,3.83
15:54:22,4.08
15:54:23,2.97
15:54:25,3.51
15:54:26,4.55
15:54:27,4.38
15:54:28,3.40
15:54:29,3.18
15:54:30,3.40
15:54:31,4.96
15:54:33,2.88
15:54:34,3.61
15:54:35,4.11
15:54:36,3.21
15:54:38,3.10
15:54:39,3.66
15:54:40,4.45
15:54:41,2.95
15:54:42,3.68
15:54:43,2.81
15:54:45,3.26
15:54:46,4.73
15:54:47,5.51
15:54:48,3.57
15:54:49,3.61
15:54:50,3.25
15:54:52,3.64
15:54:53,4.44
15:54:54,3.36
15:54:55,3.50
15:54:56,3.28
15:54:58,3.96
15:54:59,3.56
15:55:00,3.82
15:55:01,4.07
15:55:02,3.75
15:55:03,4.07
15:55:04,5.00
15:55:06,3.39
15:55:07,3.85
15:55:08,3.61
15:55:09,4.38
15:55:10,4.81
15:55:11,3.58
15:55:13,2.95
15:55:14,3.26
15:55:15,4.30
15:55:16,3.59
15:55:17,3.73
15:55:18,4.56
15:55:20,4.43
15:55:21,4.51
15:55:22,3.52
15:55:23,3.11
15:55:24,3.46
15:55:25,4.20
15:55:27,4.18
15:55:28,4.03
15:55:29,3.61
15:55:30,4.01
15:55:31,4.30
15:55:32,3.99
15:55:34,3.52
15:55:35,4.21
15:55:36,4.01
15:55:37,3.28
15:55:38,3.62
15:55:40,2.98
15:55:41,4.76
15:55:42,4.78
15:55:43,3.72
15:55:44,3.75
15:55:45,3.51
15:55:47,4.26
15:55:48,4.30
15:55:49,3.79
15:55:50,3.91
15:55:51,3.92
15:55:52,4.86
15:55:54,3.10
15:55:55,3.81
15:55:56,3.03
15:55:57,4.30
15:55:58,4.40
15:55:59,2.91
15:56:01,3.60
15:56:02,3.32
15:56:03,3.66
15:56:04,4.94
15:56:05,5.38
15:56:06,3.11
15:56:08,3.36
15:56:09,5.00
15:56:10,4.71
15:56:11,3.40
15:56:12,3.79
15:56:13,3.58
15:56:15,3.86
15:56:16,4.38
15:56:17,3.94
15:56:18,3.17
15:56:19,3.53
15:56:20,4.51
15:56:22,3.03
15:56:23,3.37
15:56:24,3.52
15:56:25,3.23
15:56:26,4.29
15:56:27,3.69
15:56:29,3.59
15:56:30,3.69
15:56:31,4.21
15:56:32,3.15
15:56:33,3.28
15:56:34,3.50
15:56:36,4.51
15:56:37,5.60
15:56:38,3.66
15:56:39,3.47
15:56:40,3.67
15:56:41,3.99
15:56:42,4.55
15:56:44,4.09
15:56:45,4.26
15:56:46,3.86
15:56:47,4.73
15:56:48,4.59
15:56:49,3.30
15:56:51,3.07
15:56:52,3.15
15:56:53,4.35
15:56:54,4.00
15:56:55,3.64
15:56:56,3.36
15:56:57,3.86
15:56:59,4.00
15:57:00,4.80
15:57:01,4.01
15:57:02,3.97
15:57:03,2.85
15:57:04,2.96
15:57:05,4.00
15:57:06,4.58
15:57:08,3.37
15:57:09,4.41
15:57:10,3.37
15:57:11,4.19
15:57:12,4.52
15:57:13,3.11
15:57:15,3.40
15:57:16,4.40
15:57:17,4.25
15:57:18,4.68
15:57:19,3.66
15:57:21,3.89
15:57:22,4.96
15:57:23,4.74
15:57:24,3.85
15:57:25,3.32
15:57:26,4.32
15:57:27,3.93
15:57:29,3.11
15:57:30,3.91
15:57:31,3.96
15:57:32,3.35
15:57:33,4.20
15:57:34,3.30
15:57:36,3.37
15:57:37,3.02
15:57:38,4.04
15:57:39,4.92
15:57:40,4.44
15:57:41,4.23
15:57:42,3.70
15:57:44,3.58
15:57:45,4.49
15:57:46,4.76
15:57:47,3.98
15:57:48,3.52
15:57:49,3.39
15:57:50,3.62
15:57:52,2.86
15:57:53,3.52
15:57:54,3.63
15:57:55,3.37
15:57:56,3.33
15:57:57,3.03
15:57:59,3.45
15:58:00,3.25
15:58:01,3.86
15:58:02,4.53
15:58:03,4.66
15:58:04,3.68
15:58:05,3.19
15:58:07,3.51
15:58:08,3.72
15:58:09,5.22
15:58:10,2.99
15:58:11,2.73
15:58:12,2.81
15:58:13,2.86
15:58:15,4.53
15:58:16,3.61
15:58:17,4.21
15:58:18,3.61
15:58:19,3.54
15:58:20,3.82
15:58:21,3.37
15:58:23,3.27
15:58:24,3.38
15:58:25,4.02
15:58:26,4.91
15:58:27,4.35
15:58:28,3.59
15:58:29,3.47
15:58:30,4.10
15:58:32,3.56
15:58:33,4.92
15:58:34,5.02
15:58:35,3.96
15:58:36,3.82
15:58:37,4.00
15:58:38,3.51
15:58:39,4.67
15:58:41,3.73
15:58:42,3.28
15:58:43,3.68
15:58:44,2.94
15:58:45,3.09
15:58:46,4.01
15:58:47,3.44
15:58:48,3.52
15:58:50,3.72
15:58:51,5.47
15:58:52,4.18
15:58:53,4.96
15:58:54,3.69
15:58:55,2.95
15:58:56,3.08
15:58:58,3.49
15:58:59,4.69
15:59:00,4.48
15:59:01,3.42
15:59:02,3.16
15:59:03,3.69
15:59:04,3.32
15:59:05,4.83
15:59:06,4.38
15:59:08,3.38
15:59:09,3.15
15:59:10,3.98
15:59:11,4.96
15:59:12,4.30
15:59:13,3.57
15:59:14,4.58
15:59:15,3.51
15:59:17,4.42
15:59:18,4.42
15:59:19,3.03
15:59:20,3.38
15:59:21,4.25
15:59:22,4.20
15:59:23,4.44
15:59:25,3.47
15:59:26,3.37
15:59:27,4.00
15:59:28,3.77
15:59:29,4.09
15:59:30,3.42
15:59:32,3.41
15:59:33,4.04
15:59:34,4.53
15:59:35,4.63
15:59:36,3.73
15:59:37,3.12
15:59:38,3.30
15:59:40,3.39
15:59:41,4.50
15:59:42,3.79
15:59:43,3.94
15:59:44,3.42
15:59:45,4.64
15:59:46,4.43
15:59:48,3.68
15:59:49,3.46
15:59:50,4.17
15:59:51,3.77
15:59:52,4.17
15:59:53,3.95
15:59:54,3.77
15:59:55,3.36
15:59:56,3.38
15:59:58,3.37
15:59:59,5.36
16:00:00,4.78
16:00:01,5.39
16:00:02,3.60
16:00:03,3.90
16:00:04,3.68
16:00:06,4.00
16:00:07,4.68
16:00:08,4.91
16:00:09,3.59
16:00:10,3.51
16:00:11,3.23
16:00:12,3.75
16:00:13,4.26
16:00:14,4.12
16:00:16,2.78
16:00:17,3.19
16:00:18,3.56
16:00:19,3.90
16:00:20,3.04
16:00:21,3.82
16:00:22,3.03
16:00:23,3.60
16:00:25,3.32
16:00:26,3.52
16:00:27,4.84
16:00:28,3.27
16:00:29,3.57
16:00:30,3.41
16:00:31,2.77
16:00:32,4.26
16:00:34,4.49
16:00:35,4.49
16:00:36,3.80
16:00:37,4.09
16:00:38,3.42
16:00:39,5.51
16:00:40,4.69
16:00:41,3.88
16:00:43,3.70
16:00:44,4.07
16:00:45,4.04
16:00:46,4.81
16:00:47,3.79
16:00:48,3.15
16:00:49,3.10
16:00:51,3.14
16:00:52,5.04
16:00:53,3.95
16:00:54,3.35
16:00:55,2.48
16:00:56,4.49
16:00:57,4.91
16:00:59,3.02
16:01:00,3.47
16:01:01,3.46
