key,CPU
alias,CPU
unit,(%)
begin date,2019/02/03
end date,2019/02/03
count,522
,
min,0.0
max,6.49
avg,4.16
,
16:02:47,0.00
16:02:48,0.69
16:02:49,0.64
16:02:51,6.49
16:02:52,4.21
16:02:53,4.20
16:02:54,2.59
16:02:56,5.04
16:02:57,4.68
16:02:58,4.72
16:02:59,4.00
16:03:01,3.98
16:03:02,4.24
16:03:03,4.29
16:03:04,5.07
16:03:05,4.98
16:03:07,4.92
16:03:08,4.36
16:03:09,4.80
16:03:10,4.19
16:03:12,4.07
16:03:13,4.20
16:03:14,3.64
16:03:15,4.14
16:03:16,3.81
16:03:17,3.42
16:03:19,5.34
16:03:20,4.76
16:03:21,5.00
16:03:22,3.77
16:03:23,4.01
16:03:25,4.20
16:03:26,4.64
16:03:27,4.26
16:03:28,4.24
16:03:29,4.26
16:03:31,4.46
16:03:32,5.06
16:03:33,4.28
16:03:34,4.36
16:03:35,3.26
16:03:37,4.00
16:03:38,4.55
16:03:39,4.46
16:03:40,4.63
16:03:41,4.26
16:03:43,4.38
16:03:44,4.63
16:03:45,4.62
16:03:46,3.69
16:03:48,4.04
16:03:49,4.48
16:03:50,4.63
16:03:51,4.67
16:03:52,4.59
16:03:54,4.61
16:03:55,3.77
16:03:56,4.33
16:03:57,3.85
16:03:59,4.20
16:04:00,4.49
16:04:01,4.49
16:04:02,4.41
16:04:03,4.27
16:04:05,4.61
16:04:06,3.45
16:04:07,4.08
16:04:08,3.58
16:04:10,3.96
16:04:11,4.91
16:04:12,4.35
16:04:13,4.15
16:04:14,4.37
16:04:15,4.93
16:04:16,4.38
16:04:17,4.14
16:04:19,4.03
16:04:20,4.41
16:04:21,3.77
16:04:22,4.10
16:04:23,3.91
16:04:24,3.64
16:04:25,4.05
16:04:26,4.72
16:04:27,3.77
16:04:29,4.46
16:04:30,4.14
16:04:31,4.85
16:04:32,5.00
16:04:33,4.69
16:04:34,4.69
16:04:35,5.12
16:04:36,5.14
16:04:37,4.44
16:04:39,3.83
16:04:40,4.27
16:04:41,3.90
16:04:42,4.03
16:04:43,4.58
16:04:44,4.17
16:04:45,4.35
16:04:46,3.82
16:04:48,3.87
16:04:49,4.21
16:04:50,2.81
16:04:51,4.01
16:04:52,4.49
16:04:53,4.31
16:04:54,4.37
16:04:55,4.38
16:04:57,4.44
16:04:58,4.06
16:04:59,4.17
16:05:00,4.14
16:05:01,4.65
16:05:02,4.06
16:05:03,4.14
16:05:04,4.64
16:05:06,4.10
16:05:07,4.35
16:05:08,4.26
16:05:09,4.82
16:05:10,5.15
16:05:11,4.71
16:05:12,4.14
16:05:14,3.64
16:05:15,3.81
16:05:16,3.46
16:05:17,3.62
16:05:18,4.10
16:05:19,4.56
16:05:21,4.18
16:05:22,3.86
16:05:23,4.33
16:05:24,4.21
16:05:25,4.35
16:05:26,4.59
16:05:27,3.97
16:05:29,4.74
16:05:30,4.21
16:05:31,5.20
16:05:32,4.53
16:05:33,4.88
16:05:34,3.93
16:05:35,5.21
16:05:37,4.01
16:05:38,4.00
16:05:39,3.96
16:05:40,4.17
16:05:41,4.31
16:05:42,3.42
16:05:44,4.37
16:05:45,4.31
16:05:46,4.38
16:05:47,5.02
16:05:48,3.29
16:05:49,4.51
16:05:50,3.77
16:05:51,3.90
16:05:53,5.43
16:05:54,4.32
16:05:55,3.75
16:05:56,4.67
16:05:57,3.37
16:05:59,3.65
16:06:00,3.87
16:06:01,5.04
16:06:02,4.26
16:06:03,4.83
16:06:04,5.22
16:06:05,5.24
16:06:06,4.35
16:06:08,4.60
16:06:09,4.82
16:06:10,4.33
16:06:11,4.80
16:06:12,4.30
16:06:13,4.24
16:06:15,4.85
16:06:16,4.21
16:06:17,4.47
16:06:18,4.29
16:06:19,3.99
16:06:20,3.90
16:06:21,3.74
16:06:23,3.67
16:06:24,3.62
16:06:25,3.75
16:06:26,3.54
16:06:27,4.08
16:06:28,4.17
16:06:29,4.20
16:06:31,4.41
16:06:32,5.19
16:06:33,4.12
16:06:34,4.89
16:06:35,5.84
16:06:36,4.39
16:06:38,4.56
16:06:39,4.26
16:06:40,3.25
16:06:41,4.32
16:06:42,4.10
16:06:43,3.85
16:06:44,4.17
16:06:46,3.79
16:06:47,3.87
16:06:48,3.45
16:06:49,4.21
16:06:50,4.74
16:06:51,4.87
16:06:52,3.95
16:06:53,4.35
16:06:55,4.14
16:06:56,4.42
16:06:57,4.38
16:06:58,4.74
16:06:59,4.40
16:07:00,4.31
16:07:01,4.30
16:07:03,4.81
16:07:04,4.70
16:07:05,3.51
16:07:06,3.64
16:07:07,4.05
16:07:08,4.65
16:07:09,3.30
16:07:11,4.27
16:07:12,4.58
16:07:13,3.88
16:07:14,4.44
16:07:15,4.49
16:07:16,3.75
16:07:17,3.69
16:07:19,3.57
16:07:20,3.66
16:07:21,4.28
16:07:22,5.10
16:07:23,4.46
16:07:24,4.80
16:07:25,5.33
16:07:26,4.17
16:07:28,4.56
16:07:29,4.43
16:07:30,4.05
16:07:31,3.68
16:07:32,4.24
16:07:33,3.41
16:07:34,3.88
16:07:36,4.10
16:07:37,4.07
16:07:38,3.94
16:07:39,4.35
16:07:40,4.37
16:07:41,3.82
16:07:42,3.73
16:07:44,3.33
16:07:45,4.15
16:07:46,4.58
16:07:47,4.36
16:07:48,4.40
16:07:49,4.81
16:07:50,4.19
16:07:52,3.51
16:07:53,4.36
16:07:54,3.90
16:07:55,3.54
16:07:56,5.81
16:07:57,4.49
16:07:59,4.13
16:08:00,3.35
16:08:01,3.64
16:08:02,4.00
16:08:03,3.92
16:08:04,4.12
16:08:05,3.65
16:08:06,3.70
16:08:08,4.41
16:08:09,3.58
16:08:10,4.14
16:08:11,5.36
16:08:12,4.04
16:08:13,4.73
16:08:14,3.83
16:08:15,3.86
16:08:17,4.26
16:08:18,3.90
16:08:19,4.56
16:08:20,3.68
16:08:21,3.82
16:08:22,3.53
16:08:23,4.18
16:08:25,3.69
16:08:26,4.00
16:08:27,3.97
16:08:28,3.92
16:08:29,4.26
16:08:30,3.98
16:08:31,4.20
16:08:33,3.76
16:08:34,4.60
16:08:35,4.84
16:08:36,4.83
16:08:37,4.32
16:08:38,4.28
16:08:40,3.80
16:08:41,3.68
16:08:42,3.69
16:08:43,3.85
16:08:44,4.78
16:08:45,4.46
16:08:46,3.48
16:08:48,4.37
16:08:49,3.72
16:08:50,3.42
16:08:51,4.21
16:08:52,4.21
16:08:53,3.91
16:08:54,3.89
16:08:56,3.81
16:08:57,3.16
16:08:58,4.05
16:08:59,3.85
16:09:00,4.20
16:09:01,3.31
16:09:03,3.89
16:09:04,3.33
16:09:05,4.28
16:09:06,3.60
16:09:07,3.73
16:09:08,3.97
16:09:09,4.09
16:09:11,4.46
16:09:12,3.64
16:09:13,3.61
16:09:14,3.98
16:09:15,3.89
16:09:16,3.52
16:09:17,4.42
16:09:18,4.46
16:09:20,4.17
16:09:21,4.21
16:09:22,4.45
16:09:23,4.66
16:09:24,4.40
16:09:25,4.68
16:09:26,4.24
16:09:28,4.53
16:09:29,3.72
16:09:30,3.87
16:09:31,4.97
16:09:32,4.56
16:09:33,4.24
16:09:34,3.70
16:09:35,3.63
16:09:37,3.99
16:09:38,3.82
16:09:39,4.55
16:09:40,4.17
16:09:41,4.03
16:09:42,4.18
16:09:44,4.21
16:09:45,4.53
16:09:46,3.95
16:09:47,4.44
16:09:48,5.00
16:09:49,4.11
16:09:51,3.69
16:09:52,4.32
16:09:53,3.67
16:09:54,4.07
16:09:55,4.00
16:09:56,3.97
16:09:58,4.24
16:09:59,4.40
16:10:00,4.02
16:10:01,4.26
16:10:02,4.60
16:10:03,4.01
16:10:05,3.73
16:10:06,4.26
16:10:07,3.56
16:10:08,4.03
16:10:09,3.75
16:10:10,3.86
16:10:11,3.40
16:10:12,3.16
16:10:14,4.48
16:10:15,4.91
16:10:16,3.77
16:10:17,3.21
16:10:18,4.04
16:10:20,4.71
16:10:21,4.41
16:10:22,3.93
16:10:23,4.11
16:10:24,4.61
16:10:25,4.01
16:10:27,3.50
16:10:28,3.65
16:10:29,4.46
16:10:30,4.58
16:10:31,5.51
16:10:32,4.78
16:10:33,3.70
16:10:35,3.55
16:10:36,4.09
16:10:37,3.37
16:10:38,4.30
16:10:39,4.58
16:10:40,4.53
16:10:42,4.90
16:10:43,4.55
16:10:44,3.86
16:10:45,4.05
16:10:46,4.23
16:10:47,4.26
16:10:48,3.70
16:10:50,3.29
16:10:51,4.64
16:10:52,3.95
16:10:53,4.44
16:10:54,3.48
16:10:56,4.07
16:10:57,4.14
16:10:58,4.53
16:10:59,4.53
16:11:00,4.18
16:11:01,4.58
16:11:02,3.85
16:11:04,3.87
16:11:05,4.01
16:11:06,3.56
16:11:07,3.96
16:11:08,4.05
16:11:09,3.99
16:11:10,4.59
16:11:12,4.65
16:11:13,4.65
16:11:14,4.53
16:11:15,3.56
16:11:16,3.89
16:11:17,3.42
16:11:18,4.14
16:11:19,3.70
16:11:21,4.01
16:11:22,4.41
16:11:23,3.56
16:11:24,3.23
16:11:25,4.45
16:11:26,5.02
16:11:27,4.78
16:11:29,4.04
16:11:30,4.23
16:11:31,4.70
16:11:32,3.79
16:11:33,3.62
16:11:34,3.81
16:11:35,3.76
16:11:36,3.91
16:11:38,3.79
16:11:39,4.44
16:11:40,4.12
16:11:41,4.41
16:11:42,4.10
16:11:43,4.10
16:11:45,3.65
16:11:46,4.14
16:11:47,3.92
16:11:48,4.26
16:11:49,3.33
16:11:50,3.92
16:11:51,4.58
16:11:52,4.35
16:11:53,3.73
16:11:55,4.49
16:11:56,4.74
16:11:57,4.07
16:11:58,4.51
16:11:59,4.48
16:12:00,4.36
16:12:02,3.63
16:12:03,3.86
16:12:04,3.35
16:12:05,3.53
16:12:06,3.86
16:12:07,4.43
16:12:08,4.01
16:12:10,3.85
16:12:11,4.30
16:12:12,4.17
16:12:13,4.35
16:12:14,3.77
16:12:15,3.54
16:12:16,3.95
16:12:17,4.44
16:12:18,4.00
16:12:20,3.98
16:12:21,3.37
16:12:22,4.33
16:12:23,3.85
16:12:24,4.42
16:12:25,4.72
16:12:26,3.87
16:12:27,3.82
16:12:29,4.07
16:12:30,5.62
16:12:31,5.44
16:12:32,4.89
16:12:33,3.62
16:12:34,3.90
16:12:35,3.93
16:12:37,3.46
16:12:38,3.92
16:12:39,3.95
16:12:40,3.46
16:12:41,3.88
16:12:42,3.63
16:12:43,4.68
16:12:45,4.18
16:12:46,3.91
16:12:47,4.15
